raw_symbol,instrument_id,date
AAPL,38,2024-12-20
AAPL,38,2024-12-21
AAPL,38,2024-12-22
AAPL,38,2024-12-23
AAPL,38,2024-12-24
AAPL,38,2024-12-25
AAPL,38,2024-12-26
AAPL,38,2024-12-27
AAPL,38,2024-12-28
AMGN,780,2024-12-20
AMGN,780,2024-12-21
AMGN,780,2024-12-22
AMGN,780,2024-12-23
AMGN,780,2024-12-24
AMGN,780,2024-12-25
AMGN,780,2024-12-26
AMGN,780,2024-12-27
AMGN,780,2024-12-28
TSLA,16244,2024-12-20
TSLA,16244,2024-12-21
TSLA,16244,2024-12-22
TSLA,16244,2024-12-23
TSLA,16244,2024-12-24
TSLA,16244,2024-12-25
TSLA,16244,2024-12-26
TSLA,16244,2024-12-27
TSLA,16244,2024-12-28
JPM,9155,2024-12-20
JPM,9155,2024-12-21
JPM,9155,2024-12-22
JPM,9155,2024-12-23
JPM,9155,2024-12-24
JPM,9155,2024-12-25
JPM,9155,2024-12-26
JPM,9155,2024-12-27
JPM,9155,2024-12-28
XOM,17709,2024-12-20
XOM,17709,2024-12-21
XOM,17709,2024-12-22
XOM,17709,2024-12-23
XOM,17709,2024-12-24
XOM,17709,2024-12-25
XOM,17709,2024-12-26
XOM,17709,2024-12-27
XOM,17709,2024-12-28
